127.0.0.1 -  -  [25/août/2009:18:43:08 +0000] "GET /caelumweb2/financeiro/pagamentosDeScrum?intervalo.inicio=26%2F1%2F2009&intervalo.fim=25%2F1%2F2010&inicio_mes=1&inicio_ano=2009&fim_mes=1&fim_ano=2010 HTTP/1.1" 200 3381 "http://localhost:9091/caelumweb2/financeiro/pagamentosDeScrum" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10.5; en-US; rv:1.9.1.2) Gecko/20090729 Firefox/3.5.2"
127.0.0.1 -  -  [25/août/2009:23:38:14 +0000] "GET /caelumweb2/ HTTP/1.1" 302 0 "-" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:18 +0000] "GET /caelumweb2/livre/login.login.logic HTTP/1.1" 200 5357 "-" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:19 +0000] "GET /caelumweb2/js/jquery-1.3.2.js HTTP/1.1" 200 120763 "http://localhost:9091/caelumweb2/livre/login.login.logic" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:19 +0000] "GET /caelumweb2/js/jquery.package.js HTTP/1.1" 200 222092 "http://localhost:9091/caelumweb2/livre/login.login.logic" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:20 +0000] "GET /caelumweb2/js/caelumweb2.package.js HTTP/1.1" 200 59935 "http://localhost:9091/caelumweb2/livre/login.login.logic" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:20 +0000] "GET /caelumweb2/js/calendar.package.js HTTP/1.1" 200 61786 "http://localhost:9091/caelumweb2/livre/login.login.logic" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:20 +0000] "GET /caelumweb2/css/caelumweb2.package.css HTTP/1.1" 200 42819 "http://localhost:9091/caelumweb2/livre/login.login.logic" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:20 +0000] "GET /caelumweb2/images/ico.gif HTTP/1.1" 200 335 "-" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:20 +0000] "POST /caelumweb2/livre/login.valida.logic HTTP/1.1" 302 0 "http://localhost:9091/caelumweb2/livre/login.login.logic" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:22 +0000] "GET /caelumweb2/livre/login.home.logic HTTP/1.1" 200 10033 "http://localhost:9091/caelumweb2/livre/login.login.logic" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:22 +0000] "GET /caelumweb2/js/jquery.package.js HTTP/1.1" 200 222092 "http://localhost:9091/caelumweb2/livre/login.home.logic" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:23 +0000] "GET /caelumweb2/js/caelumweb2.package.js HTTP/1.1" 200 59935 "http://localhost:9091/caelumweb2/livre/login.home.logic" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:23 +0000] "GET /caelumweb2/js/calendar.package.js HTTP/1.1" 200 61786 "http://localhost:9091/caelumweb2/livre/login.home.logic" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:23 +0000] "GET /caelumweb2/css/caelumweb2.package.css HTTP/1.1" 200 42819 "http://localhost:9091/caelumweb2/livre/login.home.logic" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:23 +0000] "GET /caelumweb2/financeiro/vendasPorUnidadeSintetico HTTP/1.1" 200 7263 "http://localhost:9091/caelumweb2/livre/login.home.logic" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:24 +0000] "GET /caelumweb2/js/jquery.package.js HTTP/1.1" 200 222092 "http://localhost:9091/caelumweb2/financeiro/vendasPorUnidadeSintetico" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:24 +0000] "GET /caelumweb2/js/caelumweb2.package.js HTTP/1.1" 200 59935 "http://localhost:9091/caelumweb2/financeiro/vendasPorUnidadeSintetico" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:24 +0000] "GET /caelumweb2/js/calendar.package.js HTTP/1.1" 200 61786 "http://localhost:9091/caelumweb2/financeiro/vendasPorUnidadeSintetico" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:24 +0000] "GET /caelumweb2/css/caelumweb2.package.css HTTP/1.1" 200 42819 "http://localhost:9091/caelumweb2/financeiro/vendasPorUnidadeSintetico" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:25 +0000] "GET /caelumweb2/images/f9f9f9_40x100_textures_04_highlight_hard_100.png HTTP/1.1" 200 6517 "http://localhost:9091/caelumweb2/css/caelumweb2.package.css" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:25 +0000] "GET /caelumweb2/images/888888_7x7_arrow_right.gif HTTP/1.1" 200 53 "http://localhost:9091/caelumweb2/css/caelumweb2.package.css" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:25 +0000] "GET /caelumweb2/images/888888_7x7_arrow_left.gif HTTP/1.1" 200 53 "http://localhost:9091/caelumweb2/css/caelumweb2.package.css" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:25 +0000] "GET /caelumweb2/financeiro/vendasPorUnidadeSintetico?intervalo.inicio=11%2F02%2F2020&intervalo.fim=11%2F02%2F2020 HTTP/1.1" 200 7530 "http://localhost:9091/caelumweb2/financeiro/vendasPorUnidadeSintetico" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:26 +0000] "GET /caelumweb2/js/jquery.package.js HTTP/1.1" 200 222092 "http://localhost:9091/caelumweb2/financeiro/vendasPorUnidadeSintetico?intervalo.inicio=11%2F02%2F2020&intervalo.fim=11%2F02%2F2020" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:26 +0000] "GET /caelumweb2/js/caelumweb2.package.js HTTP/1.1" 200 59935 "http://localhost:9091/caelumweb2/financeiro/vendasPorUnidadeSintetico?intervalo.inicio=11%2F02%2F2020&intervalo.fim=11%2F02%2F2020" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:26 +0000] "GET /caelumweb2/js/calendar.package.js HTTP/1.1" 200 61786 "http://localhost:9091/caelumweb2/financeiro/vendasPorUnidadeSintetico?intervalo.inicio=11%2F02%2F2020&intervalo.fim=11%2F02%2F2020" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
127.0.0.1 -  -  [25/août/2009:23:38:26 +0000] "GET /caelumweb2/css/caelumweb2.package.css HTTP/1.1" 200 42819 "http://localhost:9091/caelumweb2/financeiro/vendasPorUnidadeSintetico?intervalo.inicio=11%2F02%2F2020&intervalo.fim=11%2F02%2F2020" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X; en-US; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20"
